step,correct_token_mean,incorrect_token_mean,experiment
30,0.0055452142051422015,0.0003090459831582848,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
31,0.005367005565631189,0.0010766822524601594,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
32,0.002546361066379177,0.0007856275769881904,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
33,0.003831485035334481,0.0008241910836659372,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
34,0.005694752977028372,0.0013552907767007127,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
35,0.003859756703434414,0.0007920590578578413,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
36,0.0068576002091731425,0.0,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
37,0.004687775784304904,0.0,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
38,0.002713402790220698,0.0,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
39,0.003523450363900338,0.0,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
40,0.0015672668685056124,0.0006339139690680895,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
41,0.002163608939259376,0.0005842814052812173,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
42,0.000820097707780576,0.00042692955685197376,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
43,0.000350793072303901,0.0,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
44,0.0022354220384901424,0.0014565878173016245,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
45,0.001400513725576591,6.229695281945169e-05,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
46,0.002124810845259617,0.0003102518239757046,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
47,0.001687899269427362,0.00014365668903337792,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
48,0.003422303622414802,0.0020153468649368733,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
49,0.0018076099497079667,0.0,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
50,0.0003987480710065938,0.0,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
51,0.002514566185595868,2.2812960196461063e-05,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
52,0.0010286542719519787,0.0,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
53,0.00219993331810997,0.00018003751938522328,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
54,0.0009162428955491464,0.00011334800365148112,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
55,0.0019147111218060786,7.329991422011517e-05,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
56,0.0027548321774020224,0.001549039370729588,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
57,0.0035841022940985567,0.0030127282152534463,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
58,0.0011342656176225319,0.0025777094488148578,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
59,0.0021694456838758924,0.0033930896388483234,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
60,0.002033294696957455,0.002162497454264667,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
61,0.002898444619631846,0.0015240617226481845,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
62,0.001834235709964105,0.0009166163290501572,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
63,0.0028336406599009933,0.0018283399112988263,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
64,0.0024357936270007485,0.0019970501234638505,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
65,0.0029401541537481535,0.0004159971358603798,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
66,0.0009186352765482297,0.0003535303985700011,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
67,0.004210844885754739,0.0,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
68,0.00038824752482469194,0.0005568847791437292,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
69,0.004997594411491946,0.0002587777271401137,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
70,0.0021233039226444816,0.0005612082441075472,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
71,0.00312198680569864,0.0,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
72,0.0021876440991945856,0.0010173653063247912,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
73,0.0020044679054080916,0.0,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
74,0.0022568359395904736,0.00020458029393921606,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
75,0.0022194489160369812,0.002561340748798102,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
76,0.0021421939893571107,0.0,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
77,0.0016458304396564927,0.00084068370051682,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
78,0.0005905285491429879,0.0004699903802247718,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
79,0.002009606923543572,1.860151996879722e-06,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
80,0.0006266823834550905,0.0,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
81,0.0009674025845498591,2.4149373530235607e-05,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
82,6.767740802615663e-05,0.0,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
83,0.0004763331598014453,0.0,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
84,5.341597812247301e-05,0.0,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
85,0.0014857626396178603,0.0026901265810010955,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
86,0.0013738805238574514,0.00035334475978743285,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
87,8.429657862052409e-05,0.0005352454609237611,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
88,0.0002804017669824077,0.0,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
89,0.0012620001930372382,0.0007296792828128673,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
90,0.0009128611291373545,0.0,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
91,0.00043852986453885023,4.528993099484069e-05,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
92,0.0019465400186486903,1.0801382813951932e-05,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
93,0.0010121493811379167,0.0,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
94,0.00048538883302651215,0.00015368884851341136,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
95,0.001059548436709079,0.00022192525648279116,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
96,0.00018476288521185324,0.0,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
97,0.0016655720771985294,6.457394920289516e-05,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
98,0.0008864787657856255,0.0003612320579122752,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
99,0.00039986716605788786,0.0005958899710094556,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
100,0.0017928792220018863,0.0,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
101,0.002793725847134887,0.0013385832212406967,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
102,0.0009944933401442313,0.0,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
103,0.0005026904313041314,0.0020029646693728864,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
104,0.00014769237098910537,0.0,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
105,0.0003439987111546472,0.0002417638934275601,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
106,0.00016623679749017128,4.6504692363669164e-05,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
107,0.0009322569636505129,0.0,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
108,0.0024950583563452255,0.0012991226085432572,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
109,0.0010931250650634272,0.0,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
110,0.0005682055569575795,0.0016459741236758418,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
111,0.00021110816413549838,0.0010340862208977342,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
112,0.002975641472758639,0.0004634367651306093,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
113,0.0009338313882949478,0.00020104107170482166,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
